Time sec,Device 1 ,Device 2,Device 3,Device 4,Device 5
16.8,8.810114,8.888726,14.28734,15.65996,18.09282
16.9,9.312478,8.892583,13.79407,15.48012,18.61771
17,9.74609,8.993598,13.79505,15.6283,19.21491
17.1,10.15575,9.305267,14.46947,16.18923,19.20618
17.2,10.54373,9.190094,14.81847,16.73617,19.05319
17.3,10.91131,9.637692,14.92034,16.64967,19.11248
17.4,11.23474,9.851008,14.39095,16.59486,19.42115
17.5,11.49842,9.913364,14.87008,16.70914,20.02237
17.6,9.118808,9.775962,15.6923,17.18765,20.07059
17.7,9.847716,9.866824,16.13304,17.44132,19.76127
17.8,10.36425,9.961046,16.12424,17.39023,20.14126
17.9,10.7324,10.36382,16.03101,17.7884,20.6098
18,10.97081,10.63754,16.34987,17.83865,20.71595
18.1,11.13795,10.79389,17.1052,17.79513,20.48796
18.2,11.22094,10.65458,17.25913,18.45703,20.34588
18.3,11.17958,10.83846,17.19414,18.6052,20.5599
18.4,11.05144,11.37146,17.34813,18.70172,20.84031
18.5,10.82227,11.73475,17.77026,18.75363,20.91676
18.6,10.66435,11.68874,18.4942,19.01939,20.75811
18.7,10.54253,11.70714,18.62288,19.63563,20.78431
18.8,10.47813,11.78951,18.64151,19.797,21.29055
18.9,10.39737,11.87768,18.68393,19.74315,21.4384
19,10.36319,12.18415,19.30628,19.65431,21.33662
19.1,10.29282,12.31701,19.70592,19.7038,21.26313
19.2,10.26165,12.35289,19.69296,20.1791,21.80694
19.3,10.23246,12.27634,19.70657,20.7035,22.3919
19.4,10.29065,12.27413,19.77219,20.71556,22.43603
19.5,10.41588,12.55122,20.46894,20.6666,22.19866
19.6,10.59752,13.07706,20.90566,20.8023,22.42749
19.7,10.67142,13.35914,21.04704,21.56388,23.26795
19.8,10.6833,13.38035,20.86309,21.94267,23.43469
19.9,10.68745,13.36396,20.96554,21.91327,23.3009
20,10.82052,13.58617,21.65975,21.78889,23.23112
20.1,11.20199,14.26857,22.18154,22.03261,23.40808
20.2,11.54806,14.3983,22.31921,22.69929,24.21182
20.3,11.65874,14.41996,22.29415,22.932,24.38957
20.4,11.66462,14.33286,22.20537,22.85581,24.20819
20.5,11.76719,14.40889,22.98456,22.80381,24.15459
20.6,12.37523,15.07389,23.45972,23.22134,24.56851
20.7,12.92726,15.19352,23.50492,23.90765,25.32306
20.8,13.04502,15.32238,23.46571,23.9579,25.33499
20.9,13.03818,15.17408,23.5539,23.78988,25.11147
21,13.22852,15.33234,24.3709,23.95791,25.04811
21.1,14.02337,15.99115,25.12056,24.7218,25.21356
21.2,14.399,16.00853,25.12338,25.01709,26.07674
21.3,14.35337,16.17824,24.72577,24.99426,26.39449
21.4,14.33174,16.09233,24.99242,24.89321,26.34792
21.5,15.07095,16.47154,26.00091,25.01635,26.32735
21.6,15.64106,17.11166,26.18308,25.95962,26.35926
21.7,15.76997,17.03557,25.89771,26.10487,26.73059
21.8,15.71895,16.54019,26.19906,26.02646,26.862
21.9,15.76943,16.75096,26.30562,26.10712,27.26423
22,16.47047,17.55376,26.98168,26.64286,27.13762
22.1,17.0216,17.8967,27.27405,27.06683,27.08754
22.2,17.00854,17.91794,27.32433,27.13739,27.05563
22.3,16.90186,17.76334,27.33108,27.1285,26.79161
22.4,16.89242,17.99424,27.90109,27.11736,26.69618
22.5,17.48581,18.63073,28.47731,27.60168,26.84349
22.6,17.94103,18.91338,28.55748,28.11681,26.99502
22.7,17.9096,18.76692,28.87896,28.13768,27.06521
22.8,17.79445,18.55362,28.78664,27.97598,26.77386
22.9,17.79902,18.90368,29.13165,27.89039,26.75511
23,18.45357,19.54721,29.92495,28.00163,27.3233
23.1,19.06801,19.40621,29.97725,28.1465,27.52732
23.2,19.09541,19.57594,29.80112,28.12693,27.56825
23.3,18.97425,19.0884,29.80226,28.12486,27.58712
23.4,19.29363,19.46831,30.72897,13.92461,27.77489
23.5,20.29898,20.13544,30.99609,11.26326,28.53018
23.6,20.41758,20.25673,30.99422,8.662249,29.02507
23.7,20.32246,15.93766,31.00695,6.507488,28.71778
23.8,20.29566,11.16811,31.3625,4.969425,28.72201
23.9,21.11921,8.702748,31.96561,3.708641,29.02213
24,21.66188,7.212365,32.62097,2.996336,29.79477
24.1,21.55412,5.871887,32.33777,2.376077,29.82366
24.2,21.39778,4.480256,32.19901,1.919784,29.69491
24.3,21.91207,3.363451,32.21825,1.561239,29.64906
24.4,22.63814,2.652198,33.27431,1.040127,30.02738
24.5,22.59791,2.266953,33.87997,0.7734565,30.53964
24.6,22.4254,2.011524,33.57931,0.6661559,30.5695
24.7,22.3337,1.696435,33.3614,0.5786153,30.79545
24.8,22.91308,1.415949,15.47832,0.5101293,30.74676
24.9,23.57635,1.156996,11.78978,,31.03448
25,23.60946,1.024755,9.178169,,31.77556
25.1,23.51042,0.8640544,7.01489,,32.21931
25.2,23.62242,0.7083453,5.151073,,32.01091
25.3,24.67141,0.6395673,3.941726,,31.7276
25.4,25.27063,0.5758027,3.166818,,31.89388
25.5,25.23306,0.518745,2.472539,,31.96824
25.6,25.12812,0.472859,1.91182,,32.7289
25.7,25.15747,0.4353047,1.543057,,33.01222
25.8,25.59131,0.3726906,1.319273,,32.80048
25.9,25.91995,0.3662287,1.047593,,32.76313
26,25.91863,0.3456945,0.9030277,,33.15882
26.1,25.82518,0.316952,0.7616713,,34.00816
26.2,25.73336,0.2898618,0.5203228,,34.31892
26.3,25.70059,0.2750662,0.5174769,,34.15626
26.4,25.82986,0.2619856,0.08533266,,34.27865
26.5,26.21607,0.2293762,0.05845605,,34.50517
26.6,26.67863,0.2150706,0.1088636,,35.06926
26.7,26.79831,0.2156351,0.04573019,,35.23875
26.8,26.74272,0.2033208,0.2547554,,35.15543
26.9,26.63539,0.2019351,0.2005847,,34.94248
27,26.57465,0.1754211,0.209718,,35.05962
27.1,26.50161,0.162266,0.1293528,,35.67858
27.2,26.5503,0.1465787,0.220823,,36.34135
27.3,26.69812,0.1480741,0.215882,,36.49682
27.4,26.90812,0.1401129,0.2801307,,36.14807
27.5,27.10933,0.1267559,0.2887916,,36.171
27.6,27.13617,0.122101,0.3108527,,36.92633
27.7,27.1007,0.08207916,0.3378821,,37.21951
27.8,27.02028,0.08296505,0.3514743,,37.12567
27.9,26.95608,0.07797701,0.2365554,,37.27831
28,26.85774,0.07579169,0.4353811,,37.23684
28.1,5.380556,0.06804406,0.2883115,,37.66289
28.2,3.352165,0.05270952,,,38.22442
28.3,2.795832,0.05951638,,,38.28955
28.4,2.299572,,,,38.1235
28.5,1.864045,,,,25.27059
28.6,1.524768,,,,15.53233
28.7,1.256149,,,,12.03766
28.8,1.039757,,,,9.086552
28.9,0.4014153,,,,6.759015
29,0.4256519,,,,5.203935
29.1,0.40911,,,,4.149391
29.2,0.3789486,,,,3.391953
29.3,0.3715949,,,,2.773358
29.4,0.3678906,,,,2.393446
29.5,0.3795679,,,,1.780527
29.6,0.3762204,,,,1.237419
29.7,0.3798639,,,,1.177482
29.8,0.378729,,,,0.9535435
29.9,0.3772081,,,,1.084702
30,0.3966272,,,,0.9005056
30.1,0.4119519,,,,0.5423215
30.2,0.4205639,,,,0.5127735
30.3,0.4478717,,,,0.5930015
30.4,0.482833,,,,0.560592
30.5,0.49717,,,,
30.6,,,,,
30.7,,,,,
30.8,,,,,
30.9,,,,,
31,,,,,
31.1,,,,,
31.2,,,,,
31.3,,,,,
31.4,,,,,
31.5,,,,,
31.6,,,,,
31.7,,,,,
31.8,,,,,
31.9,,,,,
32,,,,,
32.1,,,,,
32.2,,,,,
32.3,,,,,
32.4,,,,,
32.5,,,,,
32.6,,,,,
32.7,,,,,
32.8,,,,,
32.9,,,,,
33,,,,,
33.1,,,,,
33.2,,,,,
33.3,,,,,
33.4,,,,,
33.5,,,,,
33.6,,,,,
33.7,,,,,
